,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted,GSPC.Return
142,2644.969971,2644.969971,2624.060059,2643.850098,3612810000,2643.850098,-0.00784682745220275
143,2644.889893,2650.929932,2631.050049,2640,3504200000,2640,-0.00145624670737285
144,2653.620117,2690.439941,2648.340088,2681.050049,3867810000,2681.050049,0.0155492609848485
145,2685.48999,2708.949951,2678.649902,2704.100098,4917650000,2704.100098,0.00859739601228158
146,2702.320068,2716.659912,2696.879883,2706.530029,3759270000,2706.530029,0.000898609856120838
147,2706.48999,2724.98999,2698.75,2724.870117,3359840000,2724.870117,0.00677623665855877
148,2728.340088,2738.97998,2724.030029,2737.699951,3560430000,2737.699951,0.00470842038303293
149,2735.050049,2738.080078,2724.149902,2731.610107,3472690000,2731.610107,-0.00222443807173816
150,2717.530029,2719.320068,2687.26001,2706.050049,4099490000,2706.050049,-0.00935713992802269
151,2692.360107,2708.070068,2681.830078,2707.879883,3622330000,2707.879883,0.000676201092687225
152,2712.399902,2718.050049,2703.790039,2709.800049,3361970000,2709.800049,0.000709103092812437
153,2722.610107,2748.189941,2722.610107,2744.72998,3827770000,2744.72998,0.0128902245067456
154,2750.300049,2761.850098,2748.629883,2753.030029,3670770000,2753.030029,0.00302399473189707
155,2743.5,2757.899902,2731.22998,2745.72998,3836700000,2745.72998,-0.00265164161781831
156,2760.23999,2775.659912,2760.23999,2775.600098,3641370000,2775.600098,0.0108787529063582
157,2769.280029,2787.330078,2767.290039,2779.76001,3533710000,2779.76001,0.00149874328185734
158,2779.050049,2789.879883,2774.060059,2784.699951,3835450000,2784.699951,0.00177711060747294
159,2780.23999,2781.580078,2764.550049,2774.879883,3559710000,2774.879883,-0.00352643666204452
160,2780.669922,2794.199951,2779.110107,2792.669922,3427810000,2792.669922,0.00641110237203013
161,2804.350098,2813.48999,2794.98999,2796.110107,3804380000,2796.110107,0.00123186237403101
162,2792.360107,2803.120117,2789.469971,2793.899902,3645680000,2793.899902,-0.000790457069078453
163,2787.5,2795.76001,2775.129883,2792.379883,3767130000,2792.379883,-0.000544049197650907
164,2788.110107,2793.72998,2782.51001,2784.48999,4396930000,2784.48999,-0.0028255084661058
165,2798.219971,2808.02002,2787.379883,2803.689941,3972280000,2803.689941,0.00689532053228895
166,2814.370117,2816.879883,2767.659912,2792.810059,3919810000,2792.810059,-0.00388055820327965
167,2794.409912,2796.439941,2782.969971,2789.649902,3585690000,2789.649902,-0.00113153309148827
168,2790.27002,2790.27002,2768.689941,2771.449951,3786600000,2771.449951,-0.00652409859278466
169,2766.530029,2767.25,2739.090088,2748.929932,3904860000,2748.929932,-0.00812571736750084
170,2730.790039,2744.129883,2722.27002,2743.070068,3423130000,2743.070068,-0.00213168910992818
171,2747.610107,2784,2747.610107,2783.300049,3749030000,2783.300049,0.0146660420633484
172,2787.340088,2798.320068,2786.72998,2791.52002,3414230000,2791.52002,0.00295331831110099
173,2799.780029,2821.23999,2799.780029,2810.919922,3766150000,2810.919922,0.00694958368953417
174,2810.379883,2815,2803.459961,2808.47998,3469730000,2808.47998,-0.000868022593209958
175,2810.790039,2830.72998,2810.790039,2822.47998,5962730000,2822.47998,0.00498490290110596
176,2822.610107,2835.409912,2821.98999,2832.939941,3552190000,2832.939941,0.00370594692402389
177,2840.76001,2852.419922,2823.27002,2832.570068,3620220000,2832.570068,-0.000130561539497211
178,2831.340088,2843.540039,2812.429932,2824.22998,3771200000,2824.22998,-0.00294435364343472
179,2819.719971,2860.310059,2817.379883,2854.879883,3546800000,2854.879883,0.0108524812841198
180,2844.52002,2846.159912,2800.469971,2800.709961,4237200000,2800.709961,-0.0189745012820212
181,2796.01001,2809.790039,2785.02002,2798.360107,3376580000,2798.360107,-0.000839020831404131
182,2812.659912,2829.870117,2803.98999,2818.459961,3266050000,2818.459961,0.0071827260364815
183,2819.719971,2825.560059,2787.719971,2805.370117,3372930000,2805.370117,-0.00464432497928967
